Question Ref.,Ouestion Link,Asked by,Parliament Question,Date Lodged,Date Answered,Answered By,Answered Content,Web No.,Total Number of Pages
Question ref. S6W-00232,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00232,"Asked by: Clark, Katy, West Sco",To ask the Scottish Government whether it will publish a list of all publicly-owned companies in Scotland.,2021-05-25,2021-06-07,Answered by Kate Fo,"The National Public Bodies Directory provides information on all Scottish Government public bodies, including those bodies constituted as limited companies. The directory was last updated on 26 January 2021.The Scottish Government Consolidated Accounts also include a complete list of all nationalised companies where Scottish Ministers are the sole shareholder as well as providing information on other organisations and companies where the Scottish Ministers have an interest. The accounts are published on an annual basis with the most recent accounts published on 17 December 2020.",441,461
Question ref. S6W-00203,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00203,"Asked by: Kerr, Liam, North East Sco","To ask the Scottish Government how many kilometres of Scotland’s railways are electrified, and how many additional kilometres are planned to be electrified in 2021.",2021-05-24,2021-06-07,Answered by Graeme,"Currently 2089 single track kilometres of Scotland’s Railway are electrified. This allows some 75% of Scottish passenger journeys to be made by electric train.Works to electrify the East Kilbride and Barrhead Routes have commenced, though electrification of these routes will not be completed within 2021. Development work for electrification of the Borders Line and Fife Circle routes is also underway.",441,461
Question ref. S6W-00240,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00240,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government when children under the age of 18, especially those with health conditions, will be able to access the COVID-19 vaccine.",2021-05-25,2021-06-07,Answered by Maree ,"I refer the member to the answer to question S6W-00061 on‎ 26 May 2021. All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers ",441,461
Question ref. S6W-00111,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00111,"Asked by: Cameron, Donald, Highlands and Is","To ask the Scottish Government whether it will provide an update on the number of vaccination doses (a) allocated to NHS Scotland, (b) delivered to NHS Scotland and (c) received by people in Scotland, and what the reasons are for the differences between these figures.",2021-05-20,2021-06-07,Answered by Humza Yo,"The Scottish Government greatly values the need for adhering to commercial sensitivity on this area of public policy.All information on supply volumes – except data that is currently published – is commercially sensitive. There was agreement between Department of Business, Energy and Industrial Strategy( BEIS) and the Scottish Government on specific pieces of information that could be published.See Daily Data under Vaccinations: https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/ Total doses allocated and doses delivered are published once weekly. Received = administered data which is published daily.The definitions of allocated and delivered are included under the published figures and should be included. A key reason for the difference between allocated and delivered volumes is that a proportion of stock is held centrally until it is required at Health Board level.",441,461
Question ref. S6W-00238,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00238,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government what plans it has to review non-domestic rates.,2021-05-25,,Answered by Tom Ar,"The Scottish Government commissioned an independent review of the non-domestic rates system in 2017 chaired by Ken Barclay, which provided recommendations aimed at improvements to better support business growth, long term investment and reflect changing market places. We accepted the majority of these recommendations and have already implemented a number of key reforms such as three-yearly revaluations from 2023 with a one-year tone date, the introduction of the unique Business Growth Accelerator and Fresh start relief, and the introduction of the UK’s first Day Nursery relief.It is important that the Barclay reforms are fully implemented and evaluated before a further review is undertaken.The Scottish Government remains committed to a competitive and sustainable rates regime, and has delivered the lowest poundage in the UK for the third year in a row by taking the unprecedented step of reducing the poundage mid-revaluation in 2021-22. We also introduced the Intermediate Property Rate for properties with a rateable value between £51,001 and £95,000, ensuring that 95% of properties pay a lower rate than anywhere else in the UK, alongside the most generous package of reliefs.",441,461
Question ref. S6W-00401,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00401,"Asked by: Burnett, Alexander, Aberdeenshire",To ask the Scottish Government when dental work under the NHS will be available again for all new mothers up to their child’s first birthday.,2021-06-02,2021-06-07,Answered by Maree ,"Throughout the pandemic NHS patients, including new mothers, have been able to receive care and treatment, including aerosol generating procedures (AGPs), through one of 75 urgent dental care centres in Scotland. We have taken a precautionary approach to the remobilisation of NHS dental services but work has been carried out at pace to improve our understanding and risk management of COVID-19 transmission in dental settings, and since 1 November 2020 dentists have been able to provide the full range of NHS care and treatment to patients.",441,461
Question ref. S6W-00233,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00233,"Asked by: Simpson, Graham, Central Sco",To ask the Scottish Government what percentage of the travel budget will be spent on active travel in the next five years.,2021-05-25,2021-06-07,Answered by Graeme,"Full details of active travel funding for the next five years has not yet been agreed and will form part of the annual Budget process. The Active Travel budget for 2021-22 increased by £15 million to £115.5 million, and in the Programme for Government 2020 we committed to spending over £500 million on active travel over the next five years. This Government has given a further commitment to spending 10% of the Transport Scotland capital budget on active travel by the end of the parliament.",441,461
Question ref. S6W-00307,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00307,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government at which COVID-19 protection level (a) live music and (b) dancing will be permitted at weddings.,2021-06-01,2021-06-07,Answered by Ivan M,"We continue to keep all measures under close review. Live background music is currently permitted at wedding receptions operating at 1 metre physical distancing from level 2, but full live band entertainment is only permitted in settings operating under performing arts or events guidance at 2 metre physical distancing from level 2 at this time. Dancing is not permitted at this time, except for the first dance by the marrying couple and the parents of the marrying couple where they reside in the same household. Physical distancing requirements are a key factor in determining when these activities can fully return to wedding receptions and as the First Minister confirmed in the statement to Parliament on 11 May, a review of this is currently underway and will report back shortly.",441,461
Question ref. S6W-00067,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00067,"Asked by: Baillie, Jackie, Dumb","To ask the Scottish Government whether it has plans to provide proof of vaccinations and, if so, whether such proof will be in a physical form or on an NHS Scotland app.",2021-05-17,2021-06-07,Answered by Humza Yo,I refer the member to the answer to question S6T-00019 on‎ 26 May 2021. The answer is available on the Parliament's website at:  Official Report - Parliamentary Business : Scottish Parliament ,441,461
Question ref. S6W-00093,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00093,"Asked by: McMillan, Stuart, Greenock and Inver","To ask the Scottish Government what consideration it has given to providing COVID-19 vaccinations to UK seafarers, such as cruise ship employees, using Scottish ports while working in UK waters.",2021-05-20,2021-06-07,Answered by Humza Yo,"Currently there is no sectoral prioritisation of workers, other than frontline health and social care workers. We are inviting those of working age in all sectors for vaccination, in line with advice on clinical risk of severe disease and hospitalisation. The Joint Committee on Vaccination and Immunisation (JCVI) priority lists represents 99% of the preventable mortality from COVID-19 and throughout the delivery of the vaccination programme. The JCVI advice is that an age-based approach is the best way to quickly protect those who have not yet had the vaccine but who are at increased risk due to occupation or other factors.The Scottish Government has met its target to offer all of those in JCVI groups 1 to 9 an initial dose of COVID vaccine, with over 99 per cent of those aged over 50 having received their first dose. Those aged over 40 are now in the process of being invited for vaccination. Beyond that we will aim, supplies permitting, to have offered first doses to the entire adult population by end July, rather than September as previously anticipated.",441,461
Question ref. S6W-00141,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00141,"Asked by: Duncan-Glancy, Pam, Gl","To ask the Scottish Government for what reason it removed the role of cabinet secretary for social security, and how it will ensure that the policy area continues to receive sufficient and appropriate protection and attention.",2021-05-21,2021-06-07,Answered by Shona Rob,"Social Security is integral to my Social Justice, Housing and Local Government portfolio . It’s importance is reflected in the fact there is both a Cabinet Secretary and a Minister with responsibilities for it.&nbsp;&nbsp;",442,461
Question ref. S6W-00005,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00005,"Asked by: Carlaw, Jackson, Eas","To ask the Scottish Government what the average (a) hourly, (b) weekly and (c) monthly pay is of COVID-19 vaccinators, based on professional background.",2021-05-13,2021-06-07,Answered by Humza Yo,"Hourly rates of pay for Agenda for Change Staff are published  online  . Bank staff participating in the programme who do not also hold contracts of employment with the host health board are paid at the grade and pay band as specified in their bank contract, relating to the role profile pursuant to which they have been deployed.The Scottish Government has set sessional rates of £230 and £231 for independent contractors (GPs, dentists, optometrists and pharmacists) taking part in the COVID-19 vaccination programme. These rates, which cover a 3.5 hour session, reflect both the market conditions for hiring these professionals and the roles being filled in the programme.",442,461
Question ref. S6W-00133,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00133,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government by what date a decision will be announced on social distancing measures at events such as the Royal Edinburgh Military Tattoo, and what action is being taken to safeguard the viability of such cultural events and protect jobs.",2021-05-20,2021-06-07,Answered by Jenny Gil,"Physical distancing has been an important element in controlling the spread of COVID-19 and we recognise that physical distancing has an impact on how businesses are able to operate and has an impact on the profitability of all businesses. The Scottish Government is reviewing physical distancing and an announcement on the outcome of this review will be made in June. We cannot pre-empt the outcome of the review to say what the future of physical distancing will be in coming months, however as with all restrictions we do not intend to have physical distancing for any longer than is necessary to control the virus effectively. We have provided more than £140 million of additional funding for culture and heritage since the start of the pandemic. The £185 million business support package announced in December 2020 has allowed us to offer more support to the sector in the shape of new funds and further tranches of previous funds, including additional support for grassroots music venues, museums and galleries, and the events sector. Our support includes the £12.5 million Performing Arts Venue Relief Fund (PAVRF), £15 million for a Culture Organisations and Venues Recovery Fund (COVRF) and £6.2 million support for Grassroots Music Venues. We have provided £17 million for creative freelancers, £5.67 million for independent cinemas and £ 4.25 million for youth arts and youth music, as well as £31.5 million for the Events sector. We have also given additional support to some of Scotland’s key theatres. In addition to this specific funding for culture and heritage, businesses in the sector have also received support from the Third Sector Resilience Fund, Pivotal Enterprises Resilience Fund and the Heritage Emergency Fund.On 11 May the First Minister announced that we will provide additional support for the performing arts sector. This recognises the impact of physical distancing on current activity and the sector’s ability to plan for future activity. The intention is to provide top-ups to previous funds (PAVRF and COVRF) which will be administered by Creative Scotland. Creative Scotland are currently developing these schemes. It is likely that the schemes will open for applications in early JuneThe Royal Edinburgh Military Tattoo announced its cancellation in 2021 on 18 May as a result of the financial risks involved in delivering an event of such scale without the backing of UK-wide commercial COVID-related insurance for events, which remains a reserved matter. The Scottish Government continues to press the UK Government for an events insurance scheme to allow for the confident recovery of the events sector.",442,461
Question ref. S6W-00180,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00180,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government when it will introduce a register of interests for the judiciary.,2021-05-24,2021-06-07,Answered by Keith B,"It was a manifesto commitment of the SNP to create a register of interests for members of the judiciary to improve transparency and trust in the justice system. Now that the new government is in place, we will start looking at ways this register can be introduced and take forward the work needed to achieve this manifesto commitment.",442,461
Question ref. S6W-00195,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00195,"Asked by: Burnett, Alexander, Aberdeenshire","To ask the Scottish Government whether people travelling to Scotland will be able to buy PCR tests from providers such as Eurofins, in line with other parts of the UK, as opposed to more expensive COVID-19 travel tests purchased through the CTM Booking Portal.",2021-05-24,2021-06-07,Answered by Maree ,"To date, we have required travellers to use the NHS tests, which can be booked through the UK Government’s booking portal for international travel.The purpose of these tests is to identify any positive cases as quickly as possible so that contact tracing and genomic sequencing can be carried out and minimise the chances of delays and the risk of community transmission of the virus.A robust and fast flow of data from laboratories to Public Health Scotland is therefore essential, and we have had concerns that private sector tests would not be able to meet these requirements.However, we fully understand how difficult the restrictions on international travel are, both for the sector and for individuals who are keen to travel to see family, as well as for other important reasons. We are therefore exploring options to allow private sector testing to be used for people arriving in Scotland, provided we can ensure the swift and accurate flow of data to Public Health Scotland.",442,461
Question ref. S6W-00275,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00275,"Asked by: McNeill, Pauline, Gl",To ask the Scottish Government how much it costs to train a student in dentistry.,2021-05-27,2021-06-07,Answered by Maree ,"The cost for training a student in dentistry is comprised of a number of components, including costs for university training, clinical outreach, and vocational training. The university costs for Scottish-domiciled undergraduates are approximately £32,641 for Year 1 (pre-clinical) students and £42,989 for students in Years 2-5 (clinical). For students in Year 5 there are also additional clinical outreach costs of approximately £31,467. The costs for the one-year vocational training that dentists must undertake after graduation is approximately £61,201 per dentist.",442,461
Question ref. S6W-00214,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00214,"Asked by: Mundell, Oliver, Dumfries",To ask the Scottish Government how many people have been rejected for loans by Home Energy Scotland as a result of poor credit scores. ,2021-05-25,2021-06-07,Answered by Michael Math,The number of people who have been rejected for Home Energy Scotland loans as a result of poor credit scores is 886 out of a total of 9335 applications since 2017.,442,461
Question ref. S6W-00239,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00239,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government what plans it has to support town centre businesses affected by the change of working patterns with more people working from home in the aftermath of the COVID-19 pandemic.,2021-05-25,,Answered by Tom Ar,"We are focused on supporting town centre businesses affected by change of working patterns during the COVID-19 pandemic, both in the shorter term and for longer term adaption.We have extended 100% non-domestic rates relief for all retail, leisure, aviation and hospitality premises for all of 2021-22. Additional funding announced by the Cabinet Secretary for Finance and the Economy on 2 June will support businesses remaining in level 2 and we are launching a £10 million Scotland Loves Local programme. This follows support of £3.6 billion since the start of the pandemic directly benefitting businesses including town centre businesses.We will deliver a response to the Town Centre Review which will help us work collaboratively to revitalise our town centres, aiming to increase footfall which will benefit town centre businesses. The Review recognises that there is an opportunity to lock in renewed interest in independent and local businesses, often in local towns and neighbourhoods, encouraged in part by home working and reduced commuting.We are working with the retail sector to develop a strategy to support recovery from a year of limited trading through to the next five years and beyond, including considerations of how the sector may have to change and adapt to meet the challenges of the impact of Covid-19.To support longer-term place based renewal and community-led regeneration, including for town centres, and 20 minute neighbourhoods, we have established a Place Based Investment Programme, backed with £325 million capital investment over five years.",442,461
Question ref. S6W-00136,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00136,"Asked by: MacGregor, Fulton, Coatbridge and Chr","To ask the Scottish Government whether it will provide further funding and support for nightclubs and softplay facilities, given that they have remained closed since March 2020.",2021-05-20,2021-06-07,Answered by Kate Fo,"We have no current plans to provide further support to Nightclubs and Soft Play centres. In October 2020, the first phase of the Business Contingency Fund provided grants of up to £50,000 to eligible Nightclubs and Soft Play centres, depending on the rateable value of the business property. From November they were also eligible for Strategic Framework Business Fund grants every four weeks of either £2000 or £3000, again depending on the rateable value of the business property, and a linked top-up award for retail, hospitality and leisure sectors. Further support was provided through one-off Restart Grant payments in April of up to £19,500.",442,461
Question ref. S6W-00266,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00266,"Asked by: Kerr, Liam, North East Sco","To ask the Scottish Government when it plans to publish a revised Energy Strategy, as set out in its recent Energy Strategy Position Statement.",2021-05-27,2021-06-07,Answered by Michael Math,"Answer: As detailed in the SNP manifesto, the new administration is committed to publishing a refreshed Energy Strategy to map out Scotland’s energy transition.",442,461
Question ref. S6W-00063,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00063,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government what steps it is taking to address the reported disparities in COVID-19 vaccination uptake among different ethnic groups.,2021-05-17,2021-06-07,Answered by Humza Yo,"It is vital for the current Covid-19 vaccination programme to reach everyone and that no one is left behind, both for individual health and our collective community wellbeing.In order to achieve this, we have embedded inclusion as a key aspect of our national COVID-19 vaccination programme, working alongside Health Boards and other partners to respond to evidence of low uptake in certain communities.To help support this work we set up a National Inclusive Steering Group with representatives from Health Boards, faith groups, third and community sector. The group advises on issues and identifies solutions and actions for all partners. Organisations represented on the group include BEMIS, the African Council, Scottish Refugee Council and the Ethnic Minority Resilience Network.We have provided over £100,000 to a range of organisations working with minority ethnic communities to help inform and promote the programme. Activities undertaken include the facilitation of focus groups, provision of translations, hosting awareness-raising events and the development of tailored resources for certain communities.In April 2021 the national programme team produced inclusive planning and delivery criteria to help address barriers for specific groups within health board populations. This is based on the Health Inequality Impact Assessment, research by Voluntary Health Scotland and health board plans. Scottish Government officials meet regularly with Health Boards to discuss inclusion, local challenges and actions that are being undertaken to reach communities with low uptake of the vaccine.Work has also been undertaken to respond to the increasing number of COVID-19 cases in certain areas by accelerating the vaccination rollout and through assertive outreach in communities with large ethnic minority populations. For example, in the south of Glasgow, an additional Vaccination Centre was set up rapidly at the Glasgow Central Mosque on 18 May 2021. Mobile clinics continue to be deployed into communities offering drop-in opportunities at venues such as the Glasgow Gurdwara. Discussions are also underway with community leaders of African descent to ensure we are reaching these groups with appropriately tailored communications and delivery.The national Roll Up Your Sleeves campaign phase 2 launched on 20 April 2021 and the TV advert cast and creative reflects Scotland’s diverse society. Our national communications plan includes the production of translated assets in a range of community languages. The QR code on vaccination appointment letters and COVID-19 vaccination leaflets support people to access the information in a format or language of their choice.Scotland’s COVID-19 Vaccine Deployment Plan 2021  provides further details about our approach to the national COVID-19 programme to date and includes examples of partnership work, local outreach and communications undertaken.",443,461
Question ref. S6W-00065,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00065,"Asked by: Burnett, Alexander, Aberdeenshire",To ask the Scottish Government what its plans are to introduce vaccine certification for people who have received their COVID-19 vaccine.,2021-05-17,2021-06-07,Answered by Humza Yo,I refer the member to the answer to question S6T-00019 on‎ 26 May 2021. The answer is available on the Parliament website at:  Official Report - Parliamentary Business : Scottish Parliament,443,461
